"police_station_id","station_name","police_staff","inspector_id","inspector_name","age","joining_date","salary","no_of_cases","max_case_type","min_cases_type","avg_solving_day","station_pincode","station_zone","city","state"
"T1-103967","ST-751",23,"SI-13296","Jason Cole",47,"2001-02-01",197275,1545,"cybercrime","marriage affairs",3,"487213","CENTRAL","Guwahati","Goa"
"T1-103968","ST-752",18,"SI-13297","Kira Spears",47,"2001-02-01",79694,1547,"sedition","Divorce",12,"487215","EAST","Chandigarh","Gujarat"
"T1-103969","ST-753",18,"SI-13298","Malaysia Mejia",56,"2001-02-01",243217,1549,"Property dispute","Fraud",5,"487217","WEST","Hubli-Dharwad","Haryana"
"T1-103970","ST-754",15,"SI-13299","Atticus Roach",49,"2001-02-01",117591,1551,"Fraud","riots",11,"487219","SOUTH","Amroha","Himachal Pradesh"
"T1-103971","ST-755",14,"SI-13300","Lyanna Chung",49,"2001-02-01",167588,1553,"riots","claims of negligence",8,"487221","NORTH","Moradabad","Jharkhand"
"T1-103972","ST-756",17,"SI-13301","Ira Briggs",60,"2001-02-01",231095,1555,"marriage affairs","dowry demands",6,"487223","CENTRAL","Gurgaon","Karnataka"
"T1-103973","ST-757",25,"SI-13302","Alejandra Larsen",49,"2001-02-01",104256,1557,"Divorce","robbery",10,"487225","EAST","Aligarh","Kerala"
"T1-103974","ST-758",21,"SI-13303","Brayan Alfaro",51,"2001-02-01",227744,1559,"claims of negligence","unfair dismissal",9,"487227","WEST","Solapur","Madhya Pradesh"
"T1-103975","ST-759",22,"SI-13304","Alianna Holt",55,"2001-02-01",91083,1561,"appeal against HR","discrimination",7,"487229","SOUTH","Ranchi","Maharashtra"
"T1-103976","ST-760",28,"SI-13305","Niko Proctor",57,"2001-02-01",240567,1563,"Workplace harassment","appeal against HR",4,"487231","NORTH","Jalandhar","Manipur"
"T1-103977","ST-761",33,"SI-13306","Chandler Elliott",58,"2001-02-01",145182,1565,"Murder","Workplace harassment",14,"487233","CENTRAL","Tiruchirappalli","Meghalaya"
"T1-103978","ST-762",17,"SI-13307","Blake Walton",42,"2001-02-01",94770,1567,"robbery","Murder",10,"487235","EAST","Bhubaneswar","Mizoram"
"T1-103979","ST-763",15,"SI-13308","Amanda Garner",55,"2001-02-01",239398,1569,"dowry demands","theft",13,"487237","WEST","Salem","Nagaland"
"T1-103980","ST-764",37,"SI-13309","Roselyn Grimes",44,"2001-02-01",93852,1571,"robbery","cybercrime",10,"487239","SOUTH","Mysore","Odisha"
"T1-103981","ST-765",35,"SI-13310","Harlan Dalton",57,"2001-02-01",118989,1573,"unfair dismissal","sedition",8,"487241","NORTH","Thiruvananthapuram","Punjab"
"T1-103982","ST-766",26,"SI-13311","Alora Suarez",59,"2001-02-01",154214,1575,"theft","Property dispute",11,"487243","CENTRAL","Tiruppur","Rajasthan"
"T1-103983","ST-767",37,"SI-13312","Soren Faulkner",62,"2001-02-01",231506,1577,"cybercrime","marriage affairs",8,"487245","EAST","Gwalior","Sikkim"
"T1-103984","ST-768",21,"SI-13313","Ansley Acosta",39,"2001-02-01",133245,1579,"sedition","Divorce",10,"487247","WEST","Chandrapur","Tamil Nadu"
"T1-103985","ST-769",15,"SI-13314","Jensen Arellano",54,"2001-02-01",221779,1581,"Property dispute","Fraud",10,"487249","SOUTH","Mumbai","Telangana"
"T1-103986","ST-770",24,"SI-13315","Margaret Wilkerson",43,"2001-02-01",233986,1583,"Fraud","riots",6,"487251","NORTH","Delhi","Tripura"
"T1-103987","ST-771",13,"SI-13316","Carmelo Lara",40,"2001-02-01",198803,1585,"riots","claims of negligence",9,"487253","CENTRAL","Bangalore","Uttar Pradesh"
"T1-103988","ST-772",40,"SI-13317","Ameer Wilcox",55,"2001-02-02",87070,1587,"marriage affairs","dowry demands",11,"487255","EAST","Hyderabad","Uttarakhand"
"T1-103989","ST-773",35,"SI-13318","Kristopher Parra",46,"2001-02-02",187021,1589,"Divorce","robbery",5,"487257","WEST","Ahmedabad","West Bengal"
"T1-103990","ST-774",26,"SI-13319","Brycen Hall",44,"2001-02-02",218917,1591,"claims of negligence","unfair dismissal",3,"487259","SOUTH","Chennai","Andaman and Nicobar Islands"
"T1-103991","ST-775",33,"SI-13320","Braelyn Nicholson",45,"2001-02-02",63444,1593,"appeal against HR","discrimination",5,"487261","NORTH","Kolkata","Chandigarh"
"T1-103992","ST-776",16,"SI-13321","Rodrigo Trejo",37,"2001-02-02",158073,1595,"Workplace harassment","appeal against HR",13,"487263","CENTRAL","Surat","Dadra and Nagar Haveli and Daman and Diu"
"T1-103993","ST-777",22,"SI-13322","Camryn Garcia",50,"2001-02-02",159160,1597,"Murder","Workplace harassment",3,"487265","EAST","Pune","Lakshadweep"
"T1-103994","ST-778",14,"SI-13323","James Duffy",57,"2001-02-02",86329,1599,"robbery","Murder",9,"487267","WEST","Jaipur","Delhi"
"T1-103995","ST-779",22,"SI-13324","Denisse Donovan",38,"2001-02-02",153086,1601,"dowry demands","theft",9,"487269","SOUTH","Lucknow","Puducherry"
"T1-103996","ST-780",29,"SI-13325","Leanna Thomas",47,"2001-02-02",65916,1603,"robbery","cybercrime",15,"487271","NORTH","Kanpur","Ladakh"
"T1-103997","ST-781",13,"SI-13326","Logan Wise",45,"2001-02-02",225168,1605,"unfair dismissal","sedition",7,"487273","CENTRAL","Nagpur","Jammu and Kashmir"
"T1-103998","ST-782",36,"SI-13327","Azalea Dickerson",42,"2001-02-02",206046,1607,"theft","Property dispute",10,"487275","EAST","Indore","Maharashtra"
"T1-103999","ST-783",29,"SI-13328","Flynn Carey",52,"2001-02-02",92091,1609,"cybercrime","marriage affairs",14,"487277","WEST","Thane","Delhi"
"T1-104000","ST-784",26,"SI-13329","Sage McIntosh",47,"2001-02-02",188007,1611,"sedition","Divorce",5,"487279","SOUTH","Bhopal","Karnataka"
"T1-104001","ST-785",14,"SI-13330","Londyn Ashley",48,"2001-02-02",60936,1613,"Property dispute","Fraud",7,"487281","NORTH","Visakhapatnam","Andhra Pradesh"
"T1-104002","ST-786",31,"SI-13331","Kylen Farrell",61,"2001-02-02",177746,1615,"Fraud","riots",5,"487283","CENTRAL","Vadodara","Arunachal Pradesh"
"T1-104003","ST-787",33,"SI-13332","Westin Hanson",39,"2001-02-02",193015,1617,"riots","claims of negligence",8,"487285","EAST","Firozabad","Assam"
"T1-104004","ST-788",34,"SI-13333","Jocelyn Sosa",48,"2001-02-02",151070,1619,"marriage affairs","dowry demands",15,"487287","WEST","Ludhiana","Bihar"
"T1-104005","ST-789",15,"SI-13334","Emir Mason",47,"2001-02-02",158102,1621,"Divorce","robbery",15,"487289","SOUTH","Rajkot","Chhattisgarh"
"T1-104006","ST-790",22,"SI-13335","Kelly Austin",59,"2001-02-02",112165,1623,"claims of negligence","unfair dismissal",12,"487291","NORTH","Agra","Goa"
"T1-104007","ST-791",34,"SI-13336","Omar Brady",64,"2001-02-02",123684,1625,"appeal against HR","discrimination",6,"487293","CENTRAL","Siliguri","Gujarat"
"T1-104008","ST-792",33,"SI-13337","Luella McKenzie",47,"2001-02-02",112919,1627,"Workplace harassment","appeal against HR",9,"487295","EAST","Nashik","Haryana"
"T1-104009","ST-793",32,"SI-13338","Scott Dodson",56,"2001-02-02",196989,1629,"Murder","Workplace harassment",12,"487297","WEST","Faridabad","Himachal Pradesh"
"T1-104010","ST-794",16,"SI-13339","Saylor Kramer",46,"2001-02-02",224782,1631,"robbery","Murder",8,"487299","SOUTH","Patna","Jharkhand"
"T1-104011","ST-795",37,"SI-13340","Kylan Leal",37,"2001-02-02",63883,1633,"dowry demands","theft",7,"487301","NORTH","Meerut","Karnataka"
"T1-104012","ST-796",21,"SI-13341","Rebekah Fox",40,"2001-02-03",87659,1635,"robbery","cybercrime",12,"487303","CENTRAL","Kalyan-Dombivli","Kerala"
"T1-104013","ST-797",18,"SI-13342","Antonio Lin",59,"2001-02-03",126446,1637,"unfair dismissal","sedition",7,"487305","EAST","Vasai-Virar","Madhya Pradesh"
"T1-104014","ST-798",37,"SI-13343","Ansley Zimmerman",46,"2001-02-03",56402,1639,"theft","Property dispute",13,"487307","WEST","Varanasi","Maharashtra"
"T1-104015","ST-799",20,"SI-13344","Sergio Herman",42,"2001-02-03",48067,1641,"cybercrime","marriage affairs",5,"487309","SOUTH","Srinagar","Manipur"
"T1-104016","ST-800",13,"SI-13345","Danna Summers",64,"2001-02-03",104279,1643,"sedition","Divorce",7,"487311","NORTH","Dhanbad","Meghalaya"
"T1-104017","ST-801",37,"SI-13346","Darius Miranda",51,"2001-02-03",107614,1645,"Property dispute","Fraud",14,"487313","CENTRAL","Jodhpur","Mizoram"
"T1-104018","ST-802",22,"SI-13347","Rylan Keller",61,"2001-02-03",210656,1647,"Fraud","riots",15,"487315","EAST","Amritsar","Nagaland"
"T1-104019","ST-803",22,"SI-13348","Nico Cooper",43,"2001-02-03",90516,1649,"riots","claims of negligence",13,"487317","WEST","Raipur","Odisha"
"T1-104020","ST-804",33,"SI-13349","Emily Proctor",55,"2001-02-03",71189,1651,"marriage affairs","dowry demands",8,"487319","SOUTH","Allahabad","Punjab"
"T1-104021","ST-805",27,"SI-13350","Vance Leon",37,"2001-02-03",220896,1653,"Divorce","robbery",13,"487321","NORTH","Coimbatore","Rajasthan"
"T1-104022","ST-806",28,"SI-13351","Simone Browning",40,"2001-02-03",178486,1655,"claims of negligence","unfair dismissal",3,"487323","CENTRAL","Jabalpur","Sikkim"
"T1-104023","ST-807",24,"SI-13352","Rohan Duarte",64,"2001-02-03",210486,1657,"appeal against HR","discrimination",12,"487325","EAST","Gwalior","Tamil Nadu"
"T1-104024","ST-808",31,"SI-13353","Briana Simon",50,"2001-02-03",111927,1659,"Workplace harassment","appeal against HR",10,"487327","WEST","Vijayawada","Telangana"
"T1-104025","ST-809",17,"SI-13354","Zayne Holt",47,"2001-02-03",191346,1661,"Murder","Workplace harassment",10,"487329","SOUTH","Madurai","Tripura"
"T1-104026","ST-810",23,"SI-13355","Blake Baker",64,"2001-02-03",185730,1663,"robbery","Murder",7,"487331","NORTH","Guwahati","Uttar Pradesh"
"T1-104027","ST-811",12,"SI-13356","Ezra Hanna",59,"2001-02-03",143208,1665,"dowry demands","theft",5,"487333","CENTRAL","Chandigarh","Uttarakhand"
"T1-104028","ST-812",25,"SI-13357","Estrella Price",57,"2001-02-03",243526,1667,"robbery","cybercrime",8,"487335","EAST","Hubli-Dharwad","West Bengal"
"T1-104029","ST-813",14,"SI-13358","Brooks Arnold",63,"2001-02-03",63867,1669,"unfair dismissal","sedition",14,"487337","WEST","Amroha","Andaman and Nicobar Islands"
"T1-104030","ST-814",22,"SI-13359","Livia Alexander",47,"2001-02-03",125827,1671,"theft","Property dispute",8,"487339","SOUTH","Moradabad","Chandigarh"
"T1-104031","ST-815",38,"SI-13360","Kingston Martinez",54,"2001-02-03",122217,1673,"cybercrime","marriage affairs",3,"487341","NORTH","Gurgaon","Dadra and Nagar Haveli and Daman and Diu"
"T1-104032","ST-816",29,"SI-13361","Alora Byrd",59,"2001-02-03",199555,1675,"sedition","Divorce",15,"487343","CENTRAL","Aligarh","Lakshadweep"
"T1-104033","ST-817",15,"SI-13362","Sasha Davila",44,"2001-02-03",218759,1677,"Property dispute","Fraud",14,"487345","EAST","Solapur","Delhi"
"T1-104034","ST-818",30,"SI-13363","Grey Bruce",38,"2001-02-03",49828,1679,"Fraud","riots",10,"487347","WEST","Ranchi","Puducherry"
"T1-104035","ST-819",22,"SI-13364","Dalary Young",58,"2001-02-03",97552,1681,"riots","claims of negligence",5,"487349","SOUTH","Jalandhar","Ladakh"
"T1-104036","ST-820",35,"SI-13365","Asher Blankenship",39,"2001-02-04",245005,1683,"marriage affairs","dowry demands",6,"487351","NORTH","Tiruchirappalli","Jammu and Kashmir"
"T1-104037","ST-821",34,"SI-13366","Maya Wu",48,"2001-02-04",151070,1685,"Divorce","robbery",4,"487353","CENTRAL","Bhubaneswar","Maharashtra"
"T1-104038","ST-822",23,"SI-13367","Kyson May",57,"2001-02-04",59484,1687,"claims of negligence","unfair dismissal",6,"487355","EAST","Salem","Delhi"
"T1-104039","ST-823",34,"SI-13368","Khaleesi Bartlett",42,"2001-02-04",185931,1689,"appeal against HR","discrimination",3,"487357","WEST","Mysore","Karnataka"
"T1-104040","ST-824",30,"SI-13369","Kace Rocha",45,"2001-02-04",245049,1691,"Workplace harassment","appeal against HR",3,"487359","SOUTH","Thiruvananthapuram","Andhra Pradesh"
"T1-104041","ST-825",18,"SI-13370","Mabel Anthony",49,"2001-02-04",45102,1693,"Murder","Workplace harassment",8,"487361","NORTH","Tiruppur","Arunachal Pradesh"
"T1-104042","ST-826",19,"SI-13371","Shiloh Willis",37,"2001-02-04",208736,1695,"robbery","Murder",9,"487363","CENTRAL","Gwalior","Assam"
"T1-104043","ST-827",27,"SI-13372","Wrenley Floyd",56,"2001-02-04",187940,1697,"dowry demands","theft",8,"487365","EAST","Chandrapur","Bihar"
"T1-104044","ST-828",21,"SI-13373","Pierce Padilla",45,"2001-02-04",187873,1699,"robbery","cybercrime",3,"487367","WEST","Mumbai","Chhattisgarh"
"T1-104045","ST-829",28,"SI-13374","Clarissa Fischer",60,"2001-02-04",77281,1701,"unfair dismissal","sedition",13,"487369","SOUTH","Delhi","Goa"
"T1-104046","ST-830",28,"SI-13375","Leonidas Allison",45,"2001-02-04",91150,1703,"theft","Property dispute",9,"487371","NORTH","Bangalore","Gujarat"
"T1-104047","ST-831",33,"SI-13376","Maleah Neal",42,"2001-02-04",247357,1705,"cybercrime","marriage affairs",7,"487373","CENTRAL","Hyderabad","Haryana"
"T1-104048","ST-832",26,"SI-13377","Kane Cline",53,"2001-02-04",138025,1707,"sedition","Divorce",10,"487375","EAST","Ahmedabad","Himachal Pradesh"
"T1-104049","ST-833",30,"SI-13378","Arianna Foley",47,"2001-02-04",121207,1709,"Property dispute","Fraud",8,"487377","WEST","Chennai","Jharkhand"
"T1-104050","ST-834",18,"SI-13379","Blair Galindo",55,"2001-02-04",183648,1711,"Fraud","riots",15,"487379","SOUTH","Kolkata","Karnataka"
"T1-104051","ST-835",15,"SI-13380","Salvatore Myers",41,"2001-02-04",71731,1713,"riots","claims of negligence",11,"487381","NORTH","Surat","Kerala"
"T1-104052","ST-836",12,"SI-13381","Belen Roberts",41,"2001-02-04",210821,1715,"marriage affairs","dowry demands",3,"487383","CENTRAL","Pune","Madhya Pradesh"
"T1-104053","ST-837",32,"SI-13382","Josiah Williams",41,"2001-02-04",240688,1717,"Divorce","robbery",3,"487385","EAST","Jaipur","Maharashtra"
"T1-104054","ST-838",12,"SI-13383","Kara Riley",39,"2001-02-04",152551,1719,"claims of negligence","unfair dismissal",11,"487387","WEST","Lucknow","Manipur"
"T1-104055","ST-839",25,"SI-13384","Amari Grant",64,"2001-02-04",155709,1721,"appeal against HR","discrimination",15,"487389","SOUTH","Kanpur","Meghalaya"
"T1-104056","ST-840",23,"SI-13385","Karen Cain",37,"2001-02-04",175252,1723,"Workplace harassment","appeal against HR",12,"487391","NORTH","Nagpur","Mizoram"
"T1-104057","ST-841",24,"SI-13386","Benson Lawson",61,"2001-02-04",91863,1725,"Murder","Workplace harassment",10,"487393","CENTRAL","Indore","Nagaland"
"T1-104058","ST-842",34,"SI-13387","Liberty Craig",42,"2001-02-04",178162,1727,"robbery","Murder",4,"487395","EAST","Thane","Odisha"
"T1-104059","ST-843",32,"SI-13388","Odin Bullock",42,"2001-02-04",74936,1729,"dowry demands","theft",15,"487397","WEST","Bhopal","Punjab"
"T1-104060","ST-844",25,"SI-13389","Madeline Pearson",56,"2001-02-05",117792,1731,"robbery","cybercrime",9,"487399","SOUTH","Visakhapatnam","Rajasthan"
"T1-104061","ST-845",36,"SI-13390","Gunner Armstrong",54,"2001-02-05",127334,1733,"unfair dismissal","sedition",5,"487401","NORTH","Vadodara","Sikkim"
"T1-104062","ST-846",13,"SI-13391","Camila Dunn",60,"2001-02-05",155465,1735,"theft","Property dispute",6,"487403","CENTRAL","Firozabad","Tamil Nadu"
"T1-104063","ST-847",13,"SI-13392","Dawson Little",40,"2001-02-05",175018,1737,"cybercrime","marriage affairs",14,"487405","EAST","Ludhiana","Telangana"
"T1-104064","ST-848",13,"SI-13393","Viviana Cordova",49,"2001-02-05",138697,1739,"sedition","Divorce",12,"487407","WEST","Rajkot","Tripura"
"T1-104065","ST-849",13,"SI-13394","Vicente Warner",52,"2001-02-05",156101,1741,"Property dispute","Fraud",8,"487409","SOUTH","Agra","Uttar Pradesh"
"T1-104066","ST-850",35,"SI-13395","Sergio Cummings",39,"2001-02-05",172504,1743,"Fraud","riots",10,"487411","NORTH","Siliguri","Uttarakhand"
"T1-104067","ST-851",23,"SI-13396","Kehlani Ellison",54,"2001-02-05",215211,1745,"riots","claims of negligence",13,"487413","CENTRAL","Nashik","West Bengal"
"T1-104068","ST-852",40,"SI-13397","Kye Pearson",43,"2001-02-05",235610,1747,"marriage affairs","dowry demands",3,"487415","EAST","Faridabad","Andaman and Nicobar Islands"
"T1-104069","ST-853",27,"SI-13398","Vienna McMahon",58,"2001-02-05",222943,1749,"Divorce","robbery",13,"487417","WEST","Patna","Chandigarh"
"T1-104070","ST-854",38,"SI-13399","Jakob Carrillo",42,"2001-02-05",55941,1751,"claims of negligence","unfair dismissal",11,"487419","SOUTH","Meerut","Dadra and Nagar Haveli and Daman and Diu"
"T1-104071","ST-855",35,"SI-13400","Madelyn Kemp",55,"2001-02-05",176469,1753,"appeal against HR","discrimination",14,"487421","NORTH","Kalyan-Dombivli","Lakshadweep"
"T1-104072","ST-856",31,"SI-13401","Melvin Medrano",47,"2001-02-05",152206,1755,"Workplace harassment","appeal against HR",6,"487423","CENTRAL","Vasai-Virar","Delhi"
"T1-104073","ST-857",24,"SI-13402","Tiana Hill",37,"2001-02-05",129779,1757,"Murder","Workplace harassment",6,"487425","EAST","Varanasi","Puducherry"
"T1-104074","ST-858",15,"SI-13403","Isaac Decker",48,"2001-02-05",94748,1759,"robbery","Murder",4,"487427","WEST","Srinagar","Ladakh"
"T1-104075","ST-859",33,"SI-13404","Kamila Carter",56,"2001-02-05",66085,1761,"dowry demands","theft",3,"487429","SOUTH","Dhanbad","Jammu and Kashmir"
"T1-104076","ST-860",12,"SI-13405","Maverick Fitzgerald",56,"2001-02-05",189563,1763,"robbery","cybercrime",10,"487431","NORTH","Jodhpur","Maharashtra"
"T1-104077","ST-861",23,"SI-13406","Flora Frost",52,"2001-02-05",244675,1765,"unfair dismissal","sedition",10,"487433","CENTRAL","Amritsar","Delhi"
"T1-104078","ST-862",34,"SI-13407","Dario Leon",46,"2001-02-05",170973,1767,"theft","Property dispute",7,"487435","EAST","Raipur","Karnataka"
"T1-104079","ST-863",36,"SI-13408","Amari Everett",60,"2001-02-05",201239,1769,"cybercrime","marriage affairs",5,"487437","WEST","Allahabad","Andhra Pradesh"
"T1-104080","ST-864",33,"SI-13409","Camilo Vasquez",53,"2001-02-05",116414,1771,"sedition","Divorce",15,"487439","SOUTH","Coimbatore","Arunachal Pradesh"
"T1-104081","ST-865",20,"SI-13410","Dahlia Roberts",53,"2001-02-05",98465,1773,"Property dispute","Fraud",11,"487441","NORTH","Jabalpur","Assam"
"T1-104082","ST-866",19,"SI-13411","Josiah Le",59,"2001-02-05",249615,1775,"Fraud","riots",4,"487443","CENTRAL","Gwalior","Bihar"
"T1-104083","ST-867",17,"SI-13412","Evelynn Weeks",55,"2001-02-05",189851,1777,"riots","claims of negligence",5,"487445","EAST","Vijayawada","Chhattisgarh"
"T1-104084","ST-868",40,"SI-13413","Anders Kim",38,"2001-02-06",236837,1779,"marriage affairs","dowry demands",3,"487447","WEST","Madurai","Goa"
"T1-104085","ST-869",36,"SI-13414","Elisa Erickson",39,"2001-02-06",138472,1781,"Divorce","robbery",7,"487449","SOUTH","Guwahati","Gujarat"
"T1-104086","ST-870",15,"SI-13415","Johnny Porter",37,"2001-02-06",153214,1783,"claims of negligence","unfair dismissal",12,"487451","NORTH","Chandigarh","Haryana"
"T1-104087","ST-871",27,"SI-13416","Anastasia Russo",60,"2001-02-06",113511,1785,"appeal against HR","discrimination",14,"487453","CENTRAL","Hubli-Dharwad","Himachal Pradesh"
"T2-548792","ST-872",37,"SI-13417","Jamie Lane",62,"2001-02-06",48977,1787,"Workplace harassment","appeal against HR",14,"487455","EAST","Amroha","Jharkhand"
"T2-548793","ST-873",23,"SI-13418","Malia Chang",40,"2001-02-06",54296,1789,"Murder","Workplace harassment",4,"487457","WEST","Moradabad","Karnataka"
"T2-548794","ST-874",32,"SI-13419","Ari Cohen",60,"2001-02-06",233556,1791,"robbery","Murder",4,"487459","SOUTH","Gurgaon","Kerala"
"T2-548795","ST-875",27,"SI-13420","Leila Kline",60,"2001-02-06",178838,1793,"dowry demands","theft",13,"487461","NORTH","Aligarh","Madhya Pradesh"
"T2-548796","ST-876",39,"SI-13421","Ramon Meyers",44,"2001-02-06",49777,1795,"robbery","cybercrime",7,"487463","CENTRAL","Solapur","Maharashtra"
"T2-548797","ST-877",33,"SI-13422","Philip Avery",60,"2001-02-06",67519,1797,"unfair dismissal","sedition",3,"487465","EAST","Ranchi","Manipur"
"T2-548798","ST-878",20,"SI-13423","Nayeli Pruitt",57,"2001-02-06",120373,1799,"theft","Property dispute",10,"487467","WEST","Jalandhar","Meghalaya"
"T2-548799","ST-879",16,"SI-13424","Gatlin Oliver",45,"2001-02-06",80786,1801,"cybercrime","marriage affairs",15,"487469","SOUTH","Tiruchirappalli","Mizoram"
"T2-548800","ST-880",32,"SI-13425","Wren Arellano",60,"2001-02-06",237135,1803,"sedition","Divorce",5,"487471","NORTH","Bhubaneswar","Nagaland"
"T2-548801","ST-881",25,"SI-13426","Paityn Butler",51,"2001-02-06",231892,1805,"Property dispute","Fraud",11,"487473","CENTRAL","Salem","Odisha"
"T2-548802","ST-882",12,"SI-13427","Ryder Reyes",42,"2001-02-06",122941,1807,"Fraud","riots",4,"487475","EAST","Mysore","Punjab"
"T2-548803","ST-883",26,"SI-13428","Briana Moody",54,"2001-02-06",231035,1809,"riots","claims of negligence",13,"487477","WEST","Thiruvananthapuram","Rajasthan"
"T2-548804","ST-884",30,"SI-13429","Ryland Wu",61,"2001-02-06",135316,1811,"marriage affairs","dowry demands",3,"487479","SOUTH","Tiruppur","Sikkim"
"T2-548805","ST-885",29,"SI-13430","Mariah Cooper",53,"2001-02-06",207718,1813,"Divorce","robbery",15,"487481","NORTH","Gwalior","Tamil Nadu"
"T2-548806","ST-886",39,"SI-13431","Jonathan Tang",48,"2001-02-06",195001,1815,"claims of negligence","unfair dismissal",7,"487483","CENTRAL","Chandrapur","Telangana"
"T2-548807","ST-887",38,"SI-13432","Legend Galvan",47,"2001-02-06",233159,1817,"appeal against HR","discrimination",4,"487485","EAST","Mumbai","Tripura"
"T2-548808","ST-888",38,"SI-13433","Noor Griffin",54,"2001-02-06",198747,1819,"Workplace harassment","appeal against HR",6,"487487","WEST","Delhi","Uttar Pradesh"
"T2-548809","ST-889",39,"SI-13434","Ayden Ware",45,"2001-02-06",199198,1821,"Murder","Workplace harassment",9,"487489","SOUTH","Bangalore","Uttarakhand"
"T2-548810","ST-890",14,"SI-13435","Haven Collins",55,"2001-02-06",122892,1823,"robbery","Murder",3,"487491","NORTH","Hyderabad","West Bengal"
"T2-548811","ST-891",37,"SI-13436","Miles Adkins",38,"2001-02-06",82668,1825,"dowry demands","theft",6,"487493","CENTRAL","Ahmedabad","Andaman and Nicobar Islands"
"T2-548812","ST-892",32,"SI-13437","Selena Goodman",46,"2001-02-07",153258,1827,"robbery","cybercrime",14,"487495","EAST","Chennai","Chandigarh"
"T2-548813","ST-893",29,"SI-13438","Arielle Olsen",53,"2001-02-07",104761,1829,"unfair dismissal","sedition",4,"487497","WEST","Kolkata","Dadra and Nagar Haveli and Daman and Diu"
"T2-548814","ST-894",39,"SI-13439","Skyler Miles",59,"2001-02-07",203683,1831,"theft","Property dispute",7,"487499","SOUTH","Surat","Lakshadweep"
"T2-548815","ST-895",27,"SI-13440","Mackenzie Fitzpatrick",51,"2001-02-07",142900,1833,"cybercrime","marriage affairs",14,"487501","NORTH","Pune","Delhi"
"T2-548816","ST-896",35,"SI-13441","Blaze Weiss",45,"2001-02-07",66425,1835,"sedition","Divorce",13,"487503","CENTRAL","Jaipur","Puducherry"
"T2-548817","ST-897",24,"SI-13442","Madisyn Barnes",53,"2001-02-07",90186,1837,"Property dispute","Fraud",12,"487505","EAST","Lucknow","Ladakh"
"T2-548818","ST-898",22,"SI-13443","Damian Coleman",59,"2001-02-07",205910,1839,"Fraud","riots",13,"487507","WEST","Kanpur","Jammu and Kashmir"
"T2-548819","ST-899",14,"SI-13444","Brianna Coleman",64,"2001-02-07",218492,1841,"riots","claims of negligence",5,"487509","SOUTH","Nagpur","Maharashtra"
"T2-548820","ST-900",22,"SI-13445","Micah Thomas",41,"2001-02-07",97133,1843,"marriage affairs","dowry demands",8,"487511","NORTH","Indore","Delhi"
"T2-548821","ST-901",13,"SI-13446","Ximena Strickland",42,"2001-02-07",99321,1845,"Divorce","robbery",6,"487513","CENTRAL","Thane","Karnataka"
"T2-548822","ST-902",38,"SI-13447","Keegan Cooper",47,"2001-02-07",97425,1847,"claims of negligence","unfair dismissal",4,"487515","EAST","Bhopal","Andhra Pradesh"
"T2-548823","ST-903",29,"SI-13448","Jaylin Duffy",51,"2001-02-07",209042,1849,"appeal against HR","discrimination",4,"487517","WEST","Visakhapatnam","Arunachal Pradesh"
"T2-548824","ST-904",30,"SI-13449","Kyng McMillan",57,"2001-02-07",172293,1851,"Workplace harassment","appeal against HR",12,"487519","SOUTH","Vadodara","Assam"
"T2-548825","ST-905",40,"SI-13450","Hadlee Macdonald",45,"2001-02-07",88135,1853,"Murder","Workplace harassment",8,"487521","NORTH","Firozabad","Bihar"
"T2-548826","ST-906",24,"SI-13451","Hugh Johns",47,"2001-02-07",105213,1855,"robbery","Murder",10,"487523","CENTRAL","Ludhiana","Chhattisgarh"
"T2-548827","ST-907",35,"SI-13452","Kyleigh Crosby",61,"2001-02-07",187033,1857,"dowry demands","theft",3,"487525","EAST","Rajkot","Goa"
"T2-548828","ST-908",37,"SI-13453","Tristen Knox",48,"2001-02-07",62612,1859,"robbery","cybercrime",14,"487527","WEST","Agra","Gujarat"
"T2-548829","ST-909",19,"SI-13454","Kennedi Waters",37,"2001-02-07",124614,1861,"unfair dismissal","sedition",8,"487529","SOUTH","Siliguri","Haryana"
"T2-548830","ST-910",16,"SI-13455","Maximilian Cortez",63,"2001-02-07",143274,1863,"theft","Property dispute",6,"487531","NORTH","Nashik","Himachal Pradesh"
"T2-548831","ST-911",33,"SI-13456","Emma Burton",47,"2001-02-07",70667,1865,"cybercrime","marriage affairs",13,"487533","CENTRAL","Faridabad","Jharkhand"
"T2-548832","ST-912",23,"SI-13457","Guadalupe Newman",43,"2001-02-07",52449,1867,"sedition","Divorce",3,"487535","EAST","Patna","Karnataka"
"T2-548833","ST-913",21,"SI-13458","Anderson Lowery",59,"2001-02-07",169831,1869,"Property dispute","Fraud",9,"487537","WEST","Meerut","Kerala"
"T2-548834","ST-914",31,"SI-13459","Scout Kane",38,"2001-02-07",209313,1871,"Fraud","riots",7,"487539","SOUTH","Kalyan-Dombivli","Madhya Pradesh"
"T2-548835","ST-915",22,"SI-13460","Brock Parks",42,"2001-02-07",86955,1873,"riots","claims of negligence",14,"487541","NORTH","Vasai-Virar","Maharashtra"
"T2-548836","ST-916",17,"SI-13461","Ariel Morse",49,"2001-02-08",61145,1875,"marriage affairs","dowry demands",5,"487543","CENTRAL","Varanasi","Manipur"
"T2-548837","ST-917",16,"SI-13462","Zara English",57,"2001-02-08",147757,1877,"Divorce","robbery",7,"487545","EAST","Srinagar","Meghalaya"
